Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
308,Eljif Elmas,RB Leipzig,0.3,0.0,256,14,MKD
308,Fabian Schnellhardt,SV Darmstadt,0.3,0.0,228,10,GER
308,Fraser Hornby,SV Darmstadt,0.3,0.0,214,7,SCO
308,Marius Wolf,Borussia Dortmund,0.3,0.0,1161,22,GER
308,Marnon-Thomas Busch,1. FC Heidenheim 1846,0.3,0.0,592,16,GER
308,Marvin Friedrich,Borussia Mönchengladbach,0.3,0.0,1561,24,GER
308,Paxten Aaronson,Eintracht Frankfurt,0.3,0.0,95,7,USA
321,Matthias Bader,SV Darmstadt,0.2,1.0,1807,24,GER
321,Rogério,VfL Wolfsburg,0.2,1.0,906,13,BRA
323,Anthony Rouault,VfB Stuttgart,0.2,0.0,1008,22,FRA
323,Atakan Karazor,VfB Stuttgart,0.2,0.0,2630,33,GER
323,Cedric Zesiger,VfL Wolfsburg,0.2,0.0,1634,23,SUI
323,Fabian Holland,SV Darmstadt,0.2,0.0,1847,23,GER
323,Florian Pick,1. FC Heidenheim 1846,0.2,0.0,315,22,GER
323,Mateu Morey,Borussia Dortmund,0.2,0.0,110,3,ESP
323,Mergim Berisha,TSG Hoffenheim,0.2,0.0,263,8,GER
323,Noussair Mazraoui,Bayern München,0.2,0.0,1197,19,MAR
323,Robert Gumny,FC Augsburg,0.2,0.0,477,13,POL
323,Salih Özcan,Borussia Dortmund,0.2,0.0,1179,23,TUR
323,Sasa Kalajdzic,Eintracht Frankfurt,0.2,0.0,329,5,AUT
323,Sebastien Haller,Borussia Dortmund,0.2,0.0,389,14,CIV
335,Kevin Kampl,RB Leipzig,0.1,1.0,1360,26,SVN
335,Lovro Zvonarek,Bayern München,0.1,1.0,160,5,CRO
335,Skelly Alvero,SV Werder Bremen,0.1,1.0,121,6,FRA
338,Braydon Manu,SV Darmstadt,0.1,0.0,171,4,GHA
338,Chukwubuike Adamu,SC Freiburg,0.1,0.0,93,15,AUT
338,Filip Stojilkovic,SV Darmstadt,0.1,0.0,148,6,SUI
338,Florent Muslija,SC Freiburg,0.1,0.0,97,10,KVX
338,Merveille Papela,1. FSV Mainz 05,0.1,0.0,253,11,GER
338,Omar Traoré,1. FC Heidenheim 1846,0.1,0.0,2474,31,GER
338,Thomas Meunier,Borussia Dortmund,0.1,0.0,588,8,BEL
338,Umut Tohumcu,TSG Hoffenheim,0.1,0.0,1012,20,GER
