Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
164,Roland Sallai,SC Freiburg,0.4,1.8,1850,27,HUN
164,Takuma Asano,VfL Bochum,0.4,1.8,2003,29,JPN
167,Kevin Paredes,VfL Wolfsburg,0.4,1.7,1429,28,USA
167,Robin Gosens,1. FC Union Berlin,0.4,1.7,2297,30,GER
169,Kevin Behrens,VfL Wolfsburg,0.4,1.6,1880,31,GER
169,Ritsu Doan,SC Freiburg,0.4,1.6,2253,30,JPN
171,Marco Reus,Borussia Dortmund,0.4,1.5,1612,26,GER
172,Josha Vagnoman,VfB Stuttgart,0.4,1.4,1181,18,GER
173,Wout Weghorst,TSG Hoffenheim,0.4,1.3,1987,28,NED
174,Jordy Makengo,SC Freiburg,0.4,1.1,1022,20,FRA
175,Serhou Guirassy,VfB Stuttgart,0.4,1.0,2212,28,GUI
176,Denis Huseinbasic,FC Köln,0.3,4.0,1627,26,BIH
177,Kevin Sessa,1. FC Heidenheim 1846,0.3,3.7,1001,30,GER
178,Kristijan Jakic,FC Augsburg,0.3,3.6,1253,18,CRO
179,Edmond Tapsoba,Bayer 04 Leverkusen,0.3,3.5,2084,28,BFA
180,Niels Nkounkou,Eintracht Frankfurt,0.3,3.4,1301,29,FRA
181,Dayot Upamecano,Bayern München,0.3,3.2,1763,25,FRA
182,Eric Martel,FC Köln,0.3,3.1,2464,30,GER
182,Umut Tohumcu,TSG Hoffenheim,0.3,3.1,1012,20,GER
184,Dominik Kohr,1. FSV Mainz 05,0.3,2.7,2190,31,GER
184,Sargis Adamyan,FC Köln,0.3,2.7,797,20,ARM
186,Jan Schöppner,1. FC Heidenheim 1846,0.3,2.6,2000,26,GER
186,Leandro Barreiro,1. FSV Mainz 05,0.3,2.6,2606,31,LUX
186,Lennard Maloney,1. FC Heidenheim 1846,0.3,2.6,2292,29,USA
189,Edimilson Fernandes,1. FSV Mainz 05,0.3,2.4,1284,21,SUI
189,Josip Stanisic,Bayer 04 Leverkusen,0.3,2.4,1257,20,CRO
189,Julian Ryerson,Borussia Dortmund,0.3,2.4,1772,21,NOR
192,Anthony Rouault,VfB Stuttgart,0.3,2.3,1008,22,FRA
192,Danny da Costa,1. FSV Mainz 05,0.3,2.3,826,19,GER
192,Iago,FC Augsburg,0.3,2.3,1622,23,BRA
192,Max Finkgrafe,FC Köln,0.3,2.3,1756,24,GER
196,Benjamin Henrichs,RB Leipzig,0.3,2.2,2531,33,GER
197,Matthias Bader,SV Darmstadt,0.3,2.1,1807,24,GER
197,Olivier Deman,SV Werder Bremen,0.3,2.1,1359,29,BEL
197,Omar Traoré,1. FC Heidenheim 1846,0.3,2.1,2474,31,GER
197,Youssoufa Moukoko,Borussia Dortmund,0.3,2.1,614,20,GER
201,Jeffrey Gouweleeuw,FC Augsburg,0.3,2.0,2594,30,NED
202,Mads Valentin Pedersen,FC Augsburg,0.3,1.9,1783,27,DEN
203,Kilian Sildillia,SC Freiburg,0.3,1.8,1804,27,FRA
203,Luca Netz,Borussia Mönchengladbach,0.3,1.8,2231,30,GER
205,Mathias Honsak,SV Darmstadt,0.3,1.7,1013,23,AUT
206,Jordan Pefok,Borussia Mönchengladbach,0.3,1.3,1450,26,USA
206,Philipp Mwene,1. FSV Mainz 05,0.3,1.3,2003,23,AUT
208,Niclas Füllkrug,Borussia Dortmund,0.3,1.0,2405,31,GER
209,Pavel Kaderabek,TSG Hoffenheim,0.3,0.8,2419,29,CZE
210,Emre Can,Borussia Dortmund,0.2,3.6,1956,25,GER
211,Aster Vranckx,VfL Wolfsburg,0.2,3.4,1143,24,BEL
212,Florian Neuhaus,Borussia Mönchengladbach,0.2,3.2,1226,25,GER
213,Maximilian Eggestein,SC Freiburg,0.2,3.1,2918,33,GER
214,Adam Hlozek,Bayer 04 Leverkusen,0.2,3.0,451,23,CZE
214,Dejan Ljubicic,FC Köln,0.2,3.0,2055,26,AUT
214,Julian Weigl,Borussia Mönchengladbach,0.2,3.0,2766,31,GER
217,Nicolas Höfler,SC Freiburg,0.2,2.9,2332,28,GER
218,Bernardo,VfL Bochum,0.2,2.8,2924,33,BRA
219,Jakub Kaminski,VfL Wolfsburg,0.2,2.7,465,17,POL
219,Jérome Roussillon,1. FC Union Berlin,0.2,2.7,743,23,FRA
221,Rani Khedira,1. FC Union Berlin,0.2,2.6,1350,20,GER
222,Lucas Tousart,1. FC Union Berlin,0.2,2.5,1573,23,FRA
222,Maximilian Wöber,Borussia Mönchengladbach,0.2,2.5,2070,25,AUT
224,Benno Schmitz,FC Köln,0.2,2.4,1154,22,GER
225,Mats Hummels,Borussia Dortmund,0.2,2.3,1581,25,GER
225,Noussair Mazraoui,Bayern München,0.2,2.3,1197,19,MAR
227,Aurelio Buta,Eintracht Frankfurt,0.2,2.2,1744,30,POR
227,Ivan Ordets,VfL Bochum,0.2,2.2,1879,24,UKR
229,Christoph Baumgartner,RB Leipzig,0.2,2.1,1149,32,AUT
230,Lukas Kübler,SC Freiburg,0.2,1.9,1848,26,GER
230,Robert Skov,TSG Hoffenheim,0.2,1.9,1261,25,DEN
232,Kevin Akpoguma,TSG Hoffenheim,0.2,1.8,1095,17,NGA
232,Matej Maglica,SV Darmstadt,0.2,1.8,1701,26,CRO
234,Christopher Trimmel,1. FC Union Berlin,0.2,1.5,1653,26,AUT
234,Philipp Max,Eintracht Frankfurt,0.2,1.5,1357,23,GER
236,Felix Agu,SV Werder Bremen,0.2,1.4,1621,24,GER
237,Florian Grillitsch,TSG Hoffenheim,0.1,3.8,2297,30,AUT
238,Norman Theuerkauf,1. FC Heidenheim 1846,0.1,3.2,1257,25,GER
238,Waldemar Anton,VfB Stuttgart,0.1,3.2,2888,33,GER
240,Nico Schlotterbeck,Borussia Dortmund,0.1,2.8,2861,33,GER
241,Keven Schlotterbeck,VfL Bochum,0.1,2.6,2184,27,GER
241,Lukas Klostermann,RB Leipzig,0.1,2.6,1433,25,GER
243,Fabian Holland,SV Darmstadt,0.1,2.5,1847,23,GER
243,Marco Friedl,SV Werder Bremen,0.1,2.5,2198,25,AUT
243,Matthijs de Ligt,Bayern München,0.1,2.5,1389,22,NED
246,Nico Elvedi,Borussia Mönchengladbach,0.1,2.4,2485,30,SUI
246,Willi Orban,RB Leipzig,0.1,2.4,1583,19,HUN
248,Matthias Ginter,SC Freiburg,0.1,2.3,1918,23,GER
249,Moritz Jenz,VfL Wolfsburg,0.1,2.2,1745,22,GER
250,Piero Hincapié,Bayer 04 Leverkusen,0.1,2.1,1484,26,ECU
251,Klaus Gjasula,SV Darmstadt,0.1,2.0,1366,22,ALB
251,Tuta,Eintracht Frankfurt,0.1,2.0,2605,30,BRA
253,Felix Uduokhai,FC Augsburg,0.1,1.9,2922,33,GER
253,Mohamed Simakan,RB Leipzig,0.1,1.9,2139,32,FRA
255,Anthony Jung,SV Werder Bremen,0.1,1.8,2583,31,GER
255,Ko Itakura,Borussia Mönchengladbach,0.1,1.8,1598,20,JPN
255,Niklas Süle,Borussia Dortmund,0.1,1.8,1509,23,GER
258,Jonas Föhrenbach,1. FC Heidenheim 1846,0.1,1.7,2790,33,GER
258,Ozan Kabak,TSG Hoffenheim,0.1,1.7,2290,28,TUR
