Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
236,Arne Engels,FC Augsburg,6.56,0.0,1398,32,BEL
236,Joseph Scally,Borussia Mönchengladbach,6.56,0.0,2236,31,USA
238,Christopher Antwi-Adjej,VfL Bochum,6.55,0.0,1216,25,GHA
239,Moritz Nicolas,Borussia Mönchengladbach,6.55,1.0,2430,27,GER
240,Alex Kral,1. FC Union Berlin,6.54,0.0,1365,24,CZE
241,Kevin Müller,1. FC Heidenheim 1846,6.54,3.0,3060,34,GER
242,Ivan Ordets,VfL Bochum,6.54,0.0,1879,24,UKR
243,Noah Atubolu,SC Freiburg,6.53,3.0,3060,34,GER
244,Aissa Laidouni,1. FC Union Berlin,6.53,0.0,1064,23,TUN
244,Marvin Friedrich,Borussia Mönchengladbach,6.53,0.0,1561,24,GER
244,Matus Bero,VfL Bochum,6.53,0.0,1665,24,SVK
247,Brenden Aaronson,1. FC Union Berlin,6.53,1.0,1263,30,USA
248,Manuel Gulde,SC Freiburg,6.53,0.0,2048,27,GER
249,Janis Blaswich,RB Leipzig,6.52,0.0,1890,21,GER
249,Linton Maina,FC Köln,6.52,0.0,1904,31,GER
249,Benno Schmitz,FC Köln,6.52,0.0,1154,22,GER
252,Kevin Trapp,Eintracht Frankfurt,6.52,1.0,2880,32,GER
253,Christoph Klarer,SV Darmstadt,6.51,1.0,2356,30,AUT
254,Koen Casteels,VfL Wolfsburg,6.49,1.0,2250,25,BEL
255,Manuel Neuer,Bayern München,6.48,0.0,2054,23,GER
255,Marco Richter,1. FSV Mainz 05,6.48,0.0,713,20,GER
257,Erhan Masovic,VfL Bochum,6.47,0.0,2218,29,SRB
258,Kevin Volland,1. FC Union Berlin,6.47,1.0,1346,26,GER
259,Tomas Cvancara,Borussia Mönchengladbach,6.46,1.0,892,21,CZE
260,Karim Onisiwo,1. FSV Mainz 05,6.46,0.0,1496,24,AUT
261,Bartol Franjic,SV Darmstadt,6.44,0.0,1232,20,CRO
262,Cedric Zesiger,VfL Wolfsburg,6.42,0.0,1634,23,SUI
262,Steffen Tigges,FC Köln,6.42,0.0,715,25,GER
264,Sebastiaan Bornauw,VfL Wolfsburg,6.42,1.0,1431,20,BEL
265,Leart Paqarada,FC Köln,6.41,0.0,1073,17,KVX
266,Faride Alidou,FC Köln,6.39,1.0,1284,26,GER
267,Tiago Tomás,VfL Wolfsburg,6.39,0.0,1029,26,POR
268,Matej Maglica,SV Darmstadt,6.38,0.0,1701,26,CRO
268,Ludovic Ajorque,1. FSV Mainz 05,6.38,0.0,1355,26,FRA
268,Klaus Gjasula,SV Darmstadt,6.38,0.0,1366,22,ALB
268,Marvin Schwäbe,FC Köln,6.38,0.0,3060,34,GER
272,Rasmus Carstensen,FC Köln,6.37,0.0,1658,23,DEN
272,Nikola Dovedan,1. FC Heidenheim 1846,6.37,0.0,646,21,AUT
274,Mathias Honsak,SV Darmstadt,6.35,0.0,1013,23,AUT
275,Benedict Hollerbach,1. FC Union Berlin,6.34,1.0,1283,28,GER
276,Sven Michel,FC Augsburg,6.33,0.0,574,22,GER
276,Dion Drena Beljo,FC Augsburg,6.33,0.0,562,26,CRO
278,Marcel Schuhen,SV Darmstadt,6.25,1.0,2790,31,GER
279,Oscar Vilhelmsson,SV Darmstadt,6.24,0.0,1375,26,SWE
280,Moritz Broschinski,VfL Bochum,6.16,0.0,1242,26,GER
