Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
172,Sven Michel,FC Augsburg,2.0,1.0,574,22,GER
172,Takuma Asano,VfL Bochum,2.0,1.0,2003,29,JPN
172,Tiago Tomás,VfL Wolfsburg,2.0,1.0,1029,26,POR
193,Attila Szalai,TSG Hoffenheim,2.0,0.0,390,7,HUN
193,Benedict Hollerbach,1. FC Union Berlin,2.0,0.0,1283,28,GER
193,Felix Agu,SV Werder Bremen,2.0,0.0,1621,24,GER
193,Fraser Hornby,SV Darmstadt,2.0,0.0,214,7,SCO
193,Kevin Kampl,RB Leipzig,2.0,0.0,1360,26,SVN
193,Kevin Paredes,VfL Wolfsburg,2.0,0.0,1429,28,USA
193,Kevin Sessa,1. FC Heidenheim 1846,2.0,0.0,1001,30,GER
193,Leonidas Stergiou,VfB Stuttgart,2.0,0.0,587,15,SUI
193,Lucas Tousart,1. FC Union Berlin,2.0,0.0,1573,23,FRA
193,Marco Richter,1. FSV Mainz 05,2.0,0.0,713,20,GER
193,Mats Hummels,Borussia Dortmund,2.0,0.0,1581,25,GER
193,Max Finkgrafe,FC Köln,2.0,0.0,1756,24,GER
193,Mikkel Kaufmann,1. FC Union Berlin,2.0,0.0,479,18,DEN
193,Patrik Schick,Bayer 04 Leverkusen,2.0,0.0,1064,20,CZE
193,Philipp Lienhart,SC Freiburg,2.0,0.0,1265,15,AUT
193,Tim Siersleben,1. FC Heidenheim 1846,2.0,0.0,909,14,GER
193,Tim Skarke,SV Darmstadt,2.0,0.0,2418,30,GER
210,Michael Gregoritsch,SC Freiburg,1.0,4.0,1684,32,AUT
211,Arne Engels,FC Augsburg,1.0,2.0,1398,32,BEL
211,Benjamin Sesko,RB Leipzig,1.0,2.0,1528,31,SVN
211,Edimilson Fernandes,1. FSV Mainz 05,1.0,2.0,1284,21,SUI
211,Emre Can,Borussia Dortmund,1.0,2.0,1956,25,GER
211,Lucas Höler,SC Freiburg,1.0,2.0,2309,33,GER
211,Piero Hincapié,Bayer 04 Leverkusen,1.0,2.0,1484,26,ECU
211,Tom Bischof,TSG Hoffenheim,1.0,2.0,169,13,GER
211,Tom Krauss,1. FSV Mainz 05,1.0,2.0,1339,29,GER
211,Willian Pacho,Eintracht Frankfurt,1.0,2.0,2970,33,ECU
220,Bartol Franjic,SV Darmstadt,1.0,1.0,1232,20,CRO
220,Christian Kühlwetter,1. FC Heidenheim 1846,1.0,1.0,7,1,GER
220,David Jurasek,TSG Hoffenheim,1.0,1.0,490,13,CZE
220,Eric Martel,FC Köln,1.0,1.0,2464,30,GER
220,Fabian Nürnberger,SV Darmstadt,1.0,1.0,1519,21,GER
220,Janik Haberer,1. FC Union Berlin,1.0,1.0,1223,21,GER
220,Jens Grahl,Eintracht Frankfurt,1.0,1.0,180,2,GER
220,Jérome Roussillon,1. FC Union Berlin,1.0,1.0,743,23,FRA
220,Jonas Omlin,Borussia Mönchengladbach,1.0,1.0,630,7,SUI
220,Jonathan Tah,Bayer 04 Leverkusen,1.0,1.0,2632,31,GER
220,Kilian Sildillia,SC Freiburg,1.0,1.0,1804,27,FRA
220,Leandro Barreiro,1. FSV Mainz 05,1.0,1.0,2606,31,LUX
220,Lukas Daschner,VfL Bochum,1.0,1.0,525,20,GER
220,Maximilian Wittek,VfL Bochum,1.0,1.0,1067,21,GER
220,Milos Veljkovic,SV Werder Bremen,1.0,1.0,1921,23,SRB
220,Min-Jae Kim,Bayern München,1.0,1.0,1970,25,KOR
220,Moritz Jenz,VfL Wolfsburg,1.0,1.0,1745,22,GER
220,Moritz-Broni Kwarteng,VfL Bochum,1.0,1.0,275,11,GER
220,Noah Mbamba,Bayer 04 Leverkusen,1.0,1.0,14,3,BEL
220,Norman Theuerkauf,1. FC Heidenheim 1846,1.0,1.0,1257,25,GER
220,Oscar Vilhelmsson,SV Darmstadt,1.0,1.0,1375,26,SWE
220,Ozan Kabak,TSG Hoffenheim,1.0,1.0,2290,28,TUR
220,Patric Pfeiffer,FC Augsburg,1.0,1.0,509,11,GER
220,Sasa Kalajdzic,Eintracht Frankfurt,1.0,1.0,329,5,AUT
220,Sebastian Polter,SV Darmstadt,1.0,1.0,444,9,GER
220,Stefan Lainer,Borussia Mönchengladbach,1.0,1.0,749,15,AUT
220,Stefan Schimmer,1. FC Heidenheim 1846,1.0,1.0,141,16,GER
220,Timothy Chandler,Eintracht Frankfurt,1.0,1.0,16,6,USA
220,Tomas Cvancara,Borussia Mönchengladbach,1.0,1.0,892,21,CZE
220,Yannick Gerhardt,VfL Wolfsburg,1.0,1.0,1635,25,GER
250,Alex Kral,1. FC Union Berlin,1.0,0.0,1365,24,CZE
250,Amos Pieper,SV Werder Bremen,1.0,0.0,591,7,GER
250,Borja Iglesias,Bayer 04 Leverkusen,1.0,0.0,252,7,ESP
250,Chukwubuike Adamu,SC Freiburg,1.0,0.0,93,15,AUT
250,Clemens Riedel,SV Darmstadt,1.0,0.0,754,14,GER
250,Dayot Upamecano,Bayern München,1.0,0.0,1763,25,FRA
250,Denis Thomalla,1. FC Heidenheim 1846,1.0,0.0,432,21,GER
250,Diogo Leite,1. FC Union Berlin,1.0,0.0,2708,32,POR
250,Dion Drena Beljo,FC Augsburg,1.0,0.0,562,26,CRO
