Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
68,Niklas Dorsch,FC Augsburg,5.0,0.0,1387,21,GER
68,Olivier Deman,SV Werder Bremen,5.0,0.0,1359,29,BEL
68,Omar Traoré,1. FC Heidenheim 1846,5.0,0.0,2474,31,GER
68,Patrick Osterhage,VfL Bochum,5.0,0.0,1863,24,GER
68,Romano Schmid,SV Werder Bremen,5.0,0.0,2614,33,AUT
68,Sebastiaan Bornauw,VfL Wolfsburg,5.0,0.0,1431,20,BEL
68,Tom Krauss,1. FSV Mainz 05,5.0,0.0,1339,29,GER
68,Umut Tohumcu,TSG Hoffenheim,5.0,0.0,1012,20,GER
68,Yannick Gerhardt,VfL Wolfsburg,5.0,0.0,1635,25,GER
110,Anthony Jung,SV Werder Bremen,4.0,1.0,2583,31,GER
110,Fabian Holland,SV Darmstadt,4.0,1.0,1847,23,GER
110,Jan Thielmann,FC Köln,4.0,1.0,1588,22,GER
110,Karim Adeyemi,Borussia Dortmund,4.0,1.0,911,21,GER
110,Kouadio Koné,Borussia Mönchengladbach,4.0,1.0,1565,22,FRA
110,Mats Hummels,Borussia Dortmund,4.0,1.0,1581,25,GER
110,Philipp Mwene,1. FSV Mainz 05,4.0,1.0,2003,23,AUT
117,Andrej Kramaric,TSG Hoffenheim,4.0,0.0,2206,30,CRO
117,Anton Stach,TSG Hoffenheim,4.0,0.0,2497,33,GER
117,Christoph Kramer,Borussia Mönchengladbach,4.0,0.0,240,14,GER
117,Edimilson Fernandes,1. FSV Mainz 05,4.0,0.0,1284,21,SUI
117,Edmond Tapsoba,Bayer 04 Leverkusen,4.0,0.0,2084,28,BFA
117,Elvis Rexhbecaj,FC Augsburg,4.0,0.0,1994,25,GER
117,Emir Karic,SV Darmstadt,4.0,0.0,1781,27,AUT
117,Faride Alidou,FC Köln,4.0,0.0,1284,26,GER
117,Finn Dahmen,FC Augsburg,4.0,0.0,2790,31,GER
117,Florian Kainz,FC Köln,4.0,0.0,2210,33,AUT
117,Florian Neuhaus,Borussia Mönchengladbach,4.0,0.0,1226,25,GER
117,Iago,FC Augsburg,4.0,0.0,1622,23,BRA
117,Ikoma Lois Openda,RB Leipzig,4.0,0.0,2716,34,BEL
117,Ivan Ordets,VfL Bochum,4.0,0.0,1879,24,UKR
117,Jan-Niklas Beste,1. FC Heidenheim 1846,4.0,0.0,2618,31,GER
117,Joseph Scally,Borussia Mönchengladbach,4.0,0.0,2236,31,USA
117,Josip Juranovic,1. FC Union Berlin,4.0,0.0,1290,21,CRO
117,Kevin Behrens,VfL Wolfsburg,4.0,0.0,1880,31,GER
