Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
163,Mats Hummels,Borussia Dortmund,0.3,37.5,1581,25,GER
165,Ozan Kabak,TSG Hoffenheim,0.3,36.8,2290,28,TUR
166,Fredrik Jensen,FC Augsburg,0.3,35.7,1350,22,FIN
167,Eric Martel,FC Köln,0.3,33.3,2464,30,GER
167,Exequiel Palacios,Bayer 04 Leverkusen,0.3,33.3,1840,24,ARG
169,Grischa Prömel,TSG Hoffenheim,0.3,30.8,2146,28,GER
170,Konrad Laimer,Bayern München,0.3,29.4,1770,29,AUT
171,Maximilian Mittelstaedt,VfB Stuttgart,0.3,28.6,2104,31,GER
171,Pascal Stenzel,VfB Stuttgart,0.3,28.6,1068,23,GER
173,Dominik Kohr,1. FSV Mainz 05,0.3,28.0,2190,31,GER
173,Joshua Kimmich,Bayern München,0.3,28.0,2185,28,GER
175,Alex Kral,1. FC Union Berlin,0.3,27.8,1365,24,CZE
176,Janik Haberer,1. FC Union Berlin,0.3,26.7,1223,21,GER
177,Romano Schmid,SV Werder Bremen,0.3,26.3,2614,33,AUT
178,Benjamin Henrichs,RB Leipzig,0.3,25.7,2531,33,GER
179,Adrian Beck,1. FC Heidenheim 1846,0.3,25.0,971,23,GER
180,Lucas Tousart,1. FC Union Berlin,0.3,24.0,1573,23,FRA
181,Julian Justvan,SV Darmstadt,0.3,22.2,1069,18,GER
182,Matus Bero,VfL Bochum,0.3,20.0,1665,24,SVK
182,Umut Tohumcu,TSG Hoffenheim,0.3,20.0,1012,20,GER
184,Tobias Kempe,SV Darmstadt,0.3,19.0,1351,24,GER
185,Leonardo Bittencourt,SV Werder Bremen,0.3,16.1,1585,29,GER
186,Felix Nmecha,Borussia Dortmund,0.3,13.0,1016,20,GER
187,Florian Pick,1. FC Heidenheim 1846,0.3,12.5,315,22,GER
188,Christopher Trimmel,1. FC Union Berlin,0.2,66.7,1653,26,AUT
189,Matthias Ginter,SC Freiburg,0.2,57.1,1918,23,GER
190,Aster Vranckx,VfL Wolfsburg,0.2,50.0,1143,24,BEL
190,Niklas Stark,SV Werder Bremen,0.2,50.0,1086,17,GER
190,Robin Knoche,1. FC Union Berlin,0.2,50.0,1916,24,GER
193,Hugo Larsson,Eintracht Frankfurt,0.2,40.0,1885,29,SWE
193,Rasmus Carstensen,FC Köln,0.2,40.0,1658,23,DEN
193,Salih Özcan,Borussia Dortmund,0.2,40.0,1179,23,TUR
196,Tuta,Eintracht Frankfurt,0.2,38.9,2605,30,BRA
197,Dayot Upamecano,Bayern München,0.2,36.4,1763,25,FRA
197,John Anthony Brooks,TSG Hoffenheim,0.2,36.4,1539,21,USA
199,Max Finkgrafe,FC Köln,0.2,33.3,1756,24,GER
200,Julian Weigl,Borussia Mönchengladbach,0.2,31.6,2766,31,GER
200,Pavel Kaderabek,TSG Hoffenheim,0.2,31.6,2419,29,CZE
202,Alphonso Davies,Bayern München,0.2,30.8,2067,29,CAN
202,Aurelio Buta,Eintracht Frankfurt,0.2,30.8,1744,30,POR
204,Joakim Mæhle,VfL Wolfsburg,0.2,30.0,2454,30,DEN
205,Luca Netz,Borussia Mönchengladbach,0.2,29.4,2231,30,GER
206,Florian Grillitsch,TSG Hoffenheim,0.2,28.6,2297,30,AUT
207,Bernardo,VfL Bochum,0.2,27.6,2924,33,BRA
208,Dan-Axel Zagadou,VfB Stuttgart,0.2,27.3,1453,19,FRA
209,Denis Huseinbasic,FC Köln,0.2,25.0,1627,26,BIH
209,Emir Karic,SV Darmstadt,0.2,25.0,1781,27,AUT
209,Josip Juranovic,1. FC Union Berlin,0.2,25.0,1290,21,CRO
209,Noussair Mazraoui,Bayern München,0.2,25.0,1197,19,MAR
213,Patrick Mainka,1. FC Heidenheim 1846,0.2,24.1,3060,34,GER
214,Jan Schöppner,1. FC Heidenheim 1846,0.2,23.5,2000,26,GER
215,Timo Hübers,FC Köln,0.2,22.7,2779,31,GER
216,Hiroki Ito,VfB Stuttgart,0.2,22.2,2231,26,JPN
216,Nico Schlotterbeck,Borussia Dortmund,0.2,22.2,2861,33,GER
218,Anthony Losilla,VfL Bochum,0.2,21.4,2586,31,FRA
218,Silvan Widmer,1. FSV Mainz 05,0.2,21.4,1243,20,SUI
218,Waldemar Anton,VfB Stuttgart,0.2,21.4,2888,33,GER
221,Robin Koch,Eintracht Frankfurt,0.2,20.8,2740,31,GER
222,Maximilian Eggestein,SC Freiburg,0.2,20.5,2918,33,GER
223,Anthony Caci,1. FSV Mainz 05,0.2,19.4,2493,31,FRA
224,Finn Becker,TSG Hoffenheim,0.2,16.7,596,22,GER
225,Elvis Rexhbecaj,FC Augsburg,0.2,13.8,1994,25,GER
226,Milos Veljkovic,SV Werder Bremen,0.1,50.0,1921,23,SRB
