Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
243,Oscar Vilhelmsson,SV Darmstadt,0.04,0.1,1375,26,SWE
247,Bernardo,VfL Bochum,0.04,0.0,2924,33,BRA
247,Dan-Axel Zagadou,VfB Stuttgart,0.04,0.0,1453,19,FRA
247,Danilho Doekhi,1. FC Union Berlin,0.04,0.0,2160,24,NED
247,Felix Uduokhai,FC Augsburg,0.04,0.0,2922,33,GER
247,Keven Schlotterbeck,VfL Bochum,0.04,0.0,2184,27,GER
247,Ko Itakura,Borussia Mönchengladbach,0.04,0.0,1598,20,JPN
247,Kouadio Koné,Borussia Mönchengladbach,0.04,0.0,1565,22,FRA
247,Leandro Barreiro,1. FSV Mainz 05,0.04,0.0,2606,31,LUX
247,Matthijs de Ligt,Bayern München,0.04,0.0,1389,22,NED
247,Milos Veljkovic,SV Werder Bremen,0.04,0.0,1921,23,SRB
247,Niklas Süle,Borussia Dortmund,0.04,0.0,1509,23,GER
247,Takuma Asano,VfL Bochum,0.04,0.0,2003,29,JPN
259,Alex Kral,1. FC Union Berlin,0.03,0.0,1365,24,CZE
259,Anthony Jung,SV Werder Bremen,0.03,0.0,2583,31,GER
259,Aster Vranckx,VfL Wolfsburg,0.03,0.0,1143,24,BEL
259,Castello Lukeba,RB Leipzig,0.03,0.0,2185,32,FRA
259,Erhan Masovic,VfL Bochum,0.03,0.0,2218,29,SRB
259,Eric Martel,FC Köln,0.03,0.0,2464,30,GER
259,Jonathan Tah,Bayer 04 Leverkusen,0.03,0.0,2632,31,GER
259,Kevin Akpoguma,TSG Hoffenheim,0.03,0.0,1095,17,NGA
259,Lukas Kübler,SC Freiburg,0.03,0.0,1848,26,GER
259,Nicolas Höfler,SC Freiburg,0.03,0.0,2332,28,GER
259,Patrick Osterhage,VfL Bochum,0.03,0.0,1863,24,GER
259,Rani Khedira,1. FC Union Berlin,0.03,0.0,1350,20,GER
259,Timo Hübers,FC Köln,0.03,0.0,2779,31,GER
272,Bartol Franjic,SV Darmstadt,0.02,0.1,1232,20,CRO
272,Moritz Jenz,VfL Wolfsburg,0.02,0.1,1745,22,GER
274,Cedric Zesiger,VfL Wolfsburg,0.02,0.0,1634,23,SUI
274,Christoph Zimmermann,SV Darmstadt,0.02,0.0,1216,19,GER
274,Davie Selke,FC Köln,0.02,0.0,1271,19,GER
274,Diogo Leite,1. FC Union Berlin,0.02,0.0,2708,32,POR
274,John Anthony Brooks,TSG Hoffenheim,0.02,0.0,1539,21,USA
274,Kevin Vogt,1. FC Union Berlin,0.02,0.0,2643,32,GER
274,Lucas Tousart,1. FC Union Berlin,0.02,0.0,1573,23,FRA
274,Manuel Gulde,SC Freiburg,0.02,0.0,2048,27,GER
274,Min-Jae Kim,Bayern München,0.02,0.0,1970,25,KOR
274,Niklas Dorsch,FC Augsburg,0.02,0.0,1387,21,GER
274,Niklas Stark,SV Werder Bremen,0.02,0.0,1086,17,GER
274,Patrick Mainka,1. FC Heidenheim 1846,0.02,0.0,3060,34,GER
274,Robin Knoche,1. FC Union Berlin,0.02,0.0,1916,24,GER
274,Robin Koch,Eintracht Frankfurt,0.02,0.0,2740,31,GER
288,Finn Dahmen,FC Augsburg,0.01,0.0,2790,31,GER
288,Manuel Riemann,VfL Bochum,0.01,0.0,2970,33,GER
288,Marcel Schuhen,SV Darmstadt,0.01,0.0,2790,31,GER
288,Marco Friedl,SV Werder Bremen,0.01,0.0,2198,25,AUT
288,Marvin Friedrich,Borussia Mönchengladbach,0.01,0.0,1561,24,GER
288,Marvin Schwäbe,FC Köln,0.01,0.0,3060,34,GER
288,Nico Elvedi,Borussia Mönchengladbach,0.01,0.0,2485,30,SUI
288,Noah Atubolu,SC Freiburg,0.01,0.0,3060,34,GER
288,Sebastiaan Bornauw,VfL Wolfsburg,0.01,0.0,1431,20,BEL
288,Sepp van den Berg,1. FSV Mainz 05,0.01,0.0,2838,33,NED
298,Alexander Nübel,VfB Stuttgart,0.0,0.0,2700,30,GER
298,Frederik Rønnow,1. FC Union Berlin,0.0,0.0,2970,33,DEN
298,Gregor Kobel,Borussia Dortmund,0.0,0.0,2366,27,SUI
298,Janis Blaswich,RB Leipzig,0.0,0.0,1890,21,GER
298,Kevin Müller,1. FC Heidenheim 1846,0.0,0.0,3060,34,GER
298,Kevin Trapp,Eintracht Frankfurt,0.0,0.0,2880,32,GER
298,Koen Casteels,VfL Wolfsburg,0.0,0.0,2250,25,BEL
298,Lukas Hradecky,Bayer 04 Leverkusen,0.0,0.0,2970,33,FIN
298,Manuel Neuer,Bayern München,0.0,0.0,2054,23,GER
298,Michael Zetterer,SV Werder Bremen,0.0,0.0,2430,27,GER
298,Moritz Nicolas,Borussia Mönchengladbach,0.0,0.0,2430,27,GER
298,Oliver Baumann,TSG Hoffenheim,0.0,0.0,3060,34,GER
298,Robin Zentner,1. FSV Mainz 05,0.0,0.0,2700,30,GER
