Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
136,Fabian Holland,SV Darmstadt,17.0,0.8,1847,23,GER
137,Eric Maxim Choupo-Moting,Bayern München,16.0,2.0,703,27,CMR
138,Noah Weisshaupt,SC Freiburg,16.0,1.9,744,24,GER
139,Christoph Baumgartner,RB Leipzig,16.0,1.3,1149,32,AUT
140,Silvan Widmer,1. FSV Mainz 05,16.0,1.2,1243,20,SUI
141,Ludovic Ajorque,1. FSV Mainz 05,16.0,1.1,1355,26,FRA
141,Niels Nkounkou,Eintracht Frankfurt,16.0,1.1,1301,29,FRA
143,Karim Onisiwo,1. FSV Mainz 05,16.0,1.0,1496,24,AUT
143,Nathan N'Goumou,Borussia Mönchengladbach,16.0,1.0,1381,32,FRA
145,Denis Huseinbasic,FC Köln,16.0,0.9,1627,26,BIH
145,Jan Thielmann,FC Köln,16.0,0.9,1588,22,GER
145,Rasmus Carstensen,FC Köln,16.0,0.9,1658,23,DEN
148,Joseph Scally,Borussia Mönchengladbach,16.0,0.6,2236,31,USA
149,Nico Schlotterbeck,Borussia Dortmund,16.0,0.5,2861,33,GER
150,Silas Katompa Mvumpa,VfB Stuttgart,15.0,1.5,890,27,COD
151,Pascal Stenzel,VfB Stuttgart,15.0,1.3,1068,23,GER
152,Moritz Broschinski,VfL Bochum,15.0,1.1,1242,26,GER
152,Noussair Mazraoui,Bayern München,15.0,1.1,1197,19,MAR
154,Kevin Kampl,RB Leipzig,15.0,1.0,1360,26,SVN
155,Jonathan Burkardt,1. FSV Mainz 05,15.0,0.9,1541,21,GER
156,Ihlas Bebou,TSG Hoffenheim,15.0,0.8,1628,32,TOG
156,Michael Gregoritsch,SC Freiburg,15.0,0.8,1684,32,AUT
156,Senne Lynen,SV Werder Bremen,15.0,0.8,1791,32,BEL
159,Dominik Kohr,1. FSV Mainz 05,15.0,0.6,2190,31,GER
159,Mohamed Simakan,RB Leipzig,15.0,0.6,2139,32,FRA
161,Jeffrey Gouweleeuw,FC Augsburg,15.0,0.5,2594,30,NED
162,Nathan Tella,Bayer 04 Leverkusen,14.0,1.6,812,24,NGA
