Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
228,Kevin Behrens,VfL Wolfsburg,0.3,46.7,1880,31,GER
228,Maxence Lacroix,VfL Wolfsburg,0.3,46.7,2364,28,FRA
230,Anthony Losilla,VfL Bochum,0.3,43.5,2586,31,FRA
231,Hugo Larsson,Eintracht Frankfurt,0.3,38.9,1885,29,SWE
232,Fares Chaibi,Eintracht Frankfurt,0.3,35.0,1920,28,ALG
233,Jonas Föhrenbach,1. FC Heidenheim 1846,0.3,33.3,2790,33,GER
234,Michael Gregoritsch,SC Freiburg,0.3,31.3,1684,32,AUT
235,Oscar Vilhelmsson,SV Darmstadt,0.3,29.4,1375,26,SWE
236,Fredrik Jensen,FC Augsburg,0.3,20.0,1350,22,FIN
236,Umut Tohumcu,TSG Hoffenheim,0.3,20.0,1012,20,GER
238,Anthony Jung,SV Werder Bremen,0.2,100.0,2583,31,GER
238,Cedric Zesiger,VfL Wolfsburg,0.2,100.0,1634,23,SUI
240,Christoph Klarer,SV Darmstadt,0.2,85.7,2356,30,AUT
240,Felix Uduokhai,FC Augsburg,0.2,85.7,2922,33,GER
240,Kevin Vogt,1. FC Union Berlin,0.2,85.7,2643,32,GER
240,Nico Elvedi,Borussia Mönchengladbach,0.2,85.7,2485,30,SUI
244,Marco Friedl,SV Werder Bremen,0.2,83.3,2198,25,AUT
245,Dan-Axel Zagadou,VfB Stuttgart,0.2,75.0,1453,19,FRA
245,John Anthony Brooks,TSG Hoffenheim,0.2,75.0,1539,21,USA
245,Keven Schlotterbeck,VfL Bochum,0.2,75.0,2184,27,GER
245,Lennard Maloney,1. FC Heidenheim 1846,0.2,75.0,2292,29,USA
245,Niklas Süle,Borussia Dortmund,0.2,75.0,1509,23,GER
250,Christian Gross,SV Werder Bremen,0.2,66.7,792,20,GER
251,Klaus Gjasula,SV Darmstadt,0.2,60.0,1366,22,ALB
252,Jonathan Tah,Bayer 04 Leverkusen,0.2,55.6,2632,31,GER
253,Diogo Leite,1. FC Union Berlin,0.2,54.5,2708,32,POR
254,Norman Theuerkauf,1. FC Heidenheim 1846,0.2,50.0,1257,25,GER
255,Dominik Kohr,1. FSV Mainz 05,0.2,45.5,2190,31,GER
256,Robin Gosens,1. FC Union Berlin,0.2,41.7,2297,30,GER
257,Anthony Rouault,VfB Stuttgart,0.2,33.3,1008,22,FRA
258,Niclas Füllkrug,Borussia Dortmund,0.2,31.3,2405,31,GER
259,Tom Krauss,1. FSV Mainz 05,0.2,27.3,1339,29,GER
260,Atakan Karazor,VfB Stuttgart,0.2,26.3,2630,33,GER
261,Jordan Pefok,Borussia Mönchengladbach,0.2,25.0,1450,26,USA
262,Matus Bero,VfL Bochum,0.2,22.2,1665,24,SVK
263,Jakub Kaminski,VfL Wolfsburg,0.2,8.3,465,17,POL
264,Danilho Doekhi,1. FC Union Berlin,0.1,100.0,2160,24,NED
264,Matthijs de Ligt,Bayern München,0.1,100.0,1389,22,NED
264,Min-Jae Kim,Bayern München,0.1,100.0,1970,25,KOR
264,Moritz Jenz,VfL Wolfsburg,0.1,100.0,1745,22,GER
264,Niklas Stark,SV Werder Bremen,0.1,100.0,1086,17,GER
264,Willi Orban,RB Leipzig,0.1,100.0,1583,19,HUN
270,Sepp van den Berg,1. FSV Mainz 05,0.1,80.0,2838,33,NED
271,Milos Veljkovic,SV Werder Bremen,0.1,75.0,1921,23,SRB
271,Robin Knoche,1. FC Union Berlin,0.1,75.0,1916,24,GER
273,Christoph Zimmermann,SV Darmstadt,0.1,66.7,1216,19,GER
273,Marvin Friedrich,Borussia Mönchengladbach,0.1,66.7,1561,24,GER
273,Timo Hübers,FC Köln,0.1,66.7,2779,31,GER
276,Erhan Masovic,VfL Bochum,0.1,60.0,2218,29,SRB
277,Lukas Kübler,SC Freiburg,0.1,50.0,1848,26,GER
277,Manuel Gulde,SC Freiburg,0.1,50.0,2048,27,GER
277,Maximilian Wöber,Borussia Mönchengladbach,0.1,50.0,2070,25,AUT
277,Robin Koch,Eintracht Frankfurt,0.1,50.0,2740,31,GER
281,Matthias Ginter,SC Freiburg,0.1,40.0,1918,23,GER
282,Mats Hummels,Borussia Dortmund,0.1,33.3,1581,25,GER
283,Matej Maglica,SV Darmstadt,0.1,25.0,1701,26,CRO
284,Pavel Kaderabek,TSG Hoffenheim,0.1,21.4,2419,29,CZE
285,Ludovic Ajorque,1. FSV Mainz 05,0.1,20.0,1355,26,FRA
285,Wout Weghorst,TSG Hoffenheim,0.1,20.0,1987,28,NED
287,Piero Hincapié,Bayer 04 Leverkusen,0.1,16.7,1484,26,ECU
288,Silvan Widmer,1. FSV Mainz 05,0.1,12.5,1243,20,SUI
289,Gregor Kobel,Borussia Dortmund,0.0,100.0,2366,27,SUI
289,Manuel Neuer,Bayern München,0.0,100.0,2054,23,GER
289,Manuel Riemann,VfL Bochum,0.0,100.0,2970,33,GER
289,Marcel Schuhen,SV Darmstadt,0.0,100.0,2790,31,GER
289,Robin Zentner,1. FSV Mainz 05,0.0,100.0,2700,30,GER
