Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
160,Matthijs de Ligt,Bayern München,1.8,2.0,1389,22,NED
160,Woo-Yeong Jeong,VfB Stuttgart,1.8,2.0,618,26,KOR
162,András Schäfer,1. FC Union Berlin,1.8,1.0,1218,20,HUN
162,Mathias Honsak,SV Darmstadt,1.8,1.0,1013,23,AUT
162,Ridle Baku,VfL Wolfsburg,1.8,1.0,2011,33,GER
165,Timo Hübers,FC Köln,1.8,0.0,2779,31,GER
166,Elvis Rexhbecaj,FC Augsburg,1.7,2.0,1994,25,GER
166,Milos Veljkovic,SV Werder Bremen,1.7,2.0,1921,23,SRB
168,Adrian Beck,1. FC Heidenheim 1846,1.7,1.0,971,23,GER
168,Angelo Stiller,VfB Stuttgart,1.7,1.0,2780,32,GER
168,Dayot Upamecano,Bayern München,1.7,1.0,1763,25,FRA
168,Felix Nmecha,Borussia Dortmund,1.7,1.0,1016,20,GER
172,Waldemar Anton,VfB Stuttgart,1.7,0.0,2888,33,GER
173,Franck Honorat,Borussia Mönchengladbach,1.6,3.0,2358,32,FRA
174,Anthony Caci,1. FSV Mainz 05,1.6,2.0,2493,31,FRA
174,Felix Uduokhai,FC Augsburg,1.6,2.0,2922,33,GER
174,Nico Elvedi,Borussia Mönchengladbach,1.6,2.0,2485,30,SUI
177,Dominik Kohr,1. FSV Mainz 05,1.6,1.0,2190,31,GER
177,Tuta,Eintracht Frankfurt,1.6,1.0,2605,30,BRA
179,Arne Maier,FC Augsburg,1.5,2.0,998,22,GER
179,Emil Forsberg,RB Leipzig,1.5,2.0,460,14,SWE
181,Marius Bülter,TSG Hoffenheim,1.5,1.0,1346,30,GER
181,Philipp Mwene,1. FSV Mainz 05,1.5,1.0,2003,23,AUT
183,Lucas Tousart,1. FC Union Berlin,1.5,0.0,1573,23,FRA
184,Joakim Mæhle,VfL Wolfsburg,1.4,2.0,2454,30,DEN
184,Patrick Osterhage,VfL Bochum,1.4,2.0,1863,24,GER
184,Patrick Wimmer,VfL Wolfsburg,1.4,2.0,594,14,AUT
187,Benedikt Gimber,1. FC Heidenheim 1846,1.4,1.0,2026,24,GER
187,Iago,FC Augsburg,1.4,1.0,1622,23,BRA
187,Maximilian Bauer,FC Augsburg,1.4,1.0,808,14,GER
187,Philipp Lienhart,SC Freiburg,1.4,1.0,1265,15,AUT
187,Silvan Widmer,1. FSV Mainz 05,1.4,1.0,1243,20,SUI
192,Borja Iglesias,Bayer 04 Leverkusen,1.4,0.0,252,7,ESP
192,Josip Juranovic,1. FC Union Berlin,1.4,0.0,1290,21,CRO
192,Julian Chabot,FC Köln,1.4,0.0,2707,32,GER
192,Matthias Ginter,SC Freiburg,1.4,0.0,1918,23,GER
196,Ko Itakura,Borussia Mönchengladbach,1.3,3.0,1598,20,JPN
196,Maximilian Wittek,VfL Bochum,1.3,3.0,1067,21,GER
196,Niels Nkounkou,Eintracht Frankfurt,1.3,3.0,1301,29,FRA
199,Hugo Larsson,Eintracht Frankfurt,1.3,2.0,1885,29,SWE
199,Josha Vagnoman,VfB Stuttgart,1.3,2.0,1181,18,GER
199,Maximilian Wöber,Borussia Mönchengladbach,1.3,2.0,2070,25,AUT
202,Ivan Ordets,VfL Bochum,1.3,1.0,1879,24,UKR
202,Jeffrey Gouweleeuw,FC Augsburg,1.3,1.0,2594,30,NED
202,Mikkel Kaufmann,1. FC Union Berlin,1.3,1.0,479,18,DEN
202,Randal Kolo Muani,Eintracht Frankfurt,1.3,1.0,155,2,FRA
206,Cedric Zesiger,VfL Wolfsburg,1.3,0.0,1634,23,SUI
206,Dawid Kownacki,SV Werder Bremen,1.3,0.0,366,22,POL
206,Willian Pacho,Eintracht Frankfurt,1.3,0.0,2970,33,ECU
209,Aleksandar Pavlovic,Bayern München,1.2,2.0,1228,19,GER
209,Christoph Klarer,SV Darmstadt,1.2,2.0,2356,30,AUT
209,Danilho Doekhi,1. FC Union Berlin,1.2,2.0,2160,24,NED
212,Aaron Seydel,SV Darmstadt,1.2,1.0,615,16,GER
212,Florian Grillitsch,TSG Hoffenheim,1.2,1.0,2297,30,AUT
212,Kouadio Koné,Borussia Mönchengladbach,1.2,1.0,1565,22,FRA
212,Nacho Ferri,Eintracht Frankfurt,1.2,1.0,68,8,ESP
212,Robin Knoche,1. FC Union Berlin,1.2,1.0,1916,24,GER
217,Amadou Haidara,RB Leipzig,1.1,2.0,1537,21,MLI
217,Jan Schöppner,1. FC Heidenheim 1846,1.1,2.0,2000,26,GER
217,Olivier Deman,SV Werder Bremen,1.1,2.0,1359,29,BEL
220,Joshua Kimmich,Bayern München,1.1,1.0,2185,28,GER
220,Manuel Gulde,SC Freiburg,1.1,1.0,2048,27,GER
222,Erhan Masovic,VfL Bochum,1.1,0.0,2218,29,SRB
222,Luca Raimund,VfB Stuttgart,1.1,0.0,28,3,GER
222,Noussair Mazraoui,Bayern München,1.1,0.0,1197,19,MAR
222,Xaver Schlager,RB Leipzig,1.1,0.0,2482,29,AUT
226,Alphonso Davies,Bayern München,1.0,2.0,2067,29,CAN
226,Damion Downs,FC Köln,1.0,2.0,173,10,GER
226,Maximilian Arnold,VfL Wolfsburg,1.0,2.0,2503,30,GER
229,Dan-Axel Zagadou,VfB Stuttgart,1.0,1.0,1453,19,FRA
229,Hrvoje Smolcic,Eintracht Frankfurt,1.0,1.0,345,11,CRO
229,Julian Malatini,SV Werder Bremen,1.0,1.0,602,11,ARG
229,Max Finkgrafe,FC Köln,1.0,1.0,1756,24,GER
233,Atakan Karazor,VfB Stuttgart,1.0,0.0,2630,33,GER
233,Edmond Tapsoba,Bayer 04 Leverkusen,1.0,0.0,2084,28,BFA
233,Konrad Laimer,Bayern München,1.0,0.0,1770,29,AUT
233,Luca Netz,Borussia Mönchengladbach,1.0,0.0,2231,30,GER
233,Moritz-Broni Kwarteng,VfL Bochum,1.0,0.0,275,11,GER
233,Pep Biel,FC Augsburg,1.0,0.0,274,11,ESP
233,Sebastian Polter,SV Darmstadt,1.0,0.0,444,9,GER
240,Felix Passlack,VfL Bochum,0.9,2.0,966,15,GER
240,Fredrik Jensen,FC Augsburg,0.9,2.0,1350,22,FIN
240,Ian Maatsen,Borussia Dortmund,0.9,2.0,1269,16,NED
240,Jadon Sancho,Borussia Dortmund,0.9,2.0,954,14,ENG
240,Julian Justvan,SV Darmstadt,0.9,2.0,1069,18,GER
240,Maximilian Mittelstaedt,VfB Stuttgart,0.9,2.0,2104,31,GER
246,Fabian Nürnberger,SV Darmstadt,0.9,1.0,1519,21,GER
246,Janik Haberer,1. FC Union Berlin,0.9,1.0,1223,21,GER
248,Felix Agu,SV Werder Bremen,0.9,0.0,1621,24,GER
248,Giovanni Reyna,Borussia Dortmund,0.9,0.0,271,11,USA
248,Hiroki Ito,VfB Stuttgart,0.9,0.0,2231,26,JPN
248,Rasmus Carstensen,FC Köln,0.9,0.0,1658,23,DEN
248,Sebastien Haller,Borussia Dortmund,0.9,0.0,389,14,CIV
253,Maxence Lacroix,VfL Wolfsburg,0.8,4.0,2364,28,FRA
254,Josip Stanisic,Bayer 04 Leverkusen,0.8,3.0,1257,20,CRO
255,David Raum,RB Leipzig,0.8,2.0,2743,31,GER
255,Kristijan Jakic,FC Augsburg,0.8,2.0,1253,18,CRO
257,Castello Lukeba,RB Leipzig,0.8,1.0,2185,32,FRA
257,Lennard Maloney,1. FC Heidenheim 1846,0.8,1.0,2292,29,USA
257,Leonardo Bonucci,1. FC Union Berlin,0.8,1.0,463,7,ITA
257,Mads Valentin Pedersen,FC Augsburg,0.8,1.0,1783,27,DEN
257,Milos Pantovic,1. FC Union Berlin,0.8,1.0,14,1,SRB
257,Min-Jae Kim,Bayern München,0.8,1.0,1970,25,KOR
257,Tom Krauss,1. FSV Mainz 05,0.8,1.0,1339,29,GER
264,Diogo Leite,1. FC Union Berlin,0.8,0.0,2708,32,POR
264,Eljif Elmas,RB Leipzig,0.8,0.0,256,14,MKD
264,Marius Wolf,Borussia Dortmund,0.8,0.0,1161,22,GER
264,Sebastiaan Bornauw,VfL Wolfsburg,0.8,0.0,1431,20,BEL
264,Sheraldo Becker,1. FC Union Berlin,0.8,0.0,649,11,SUR
269,Andreas Hanche-Olsen,1. FSV Mainz 05,0.7,1.0,995,15,NOR
269,Anthony Jung,SV Werder Bremen,0.7,1.0,2583,31,GER
269,Lukas Klostermann,RB Leipzig,0.7,1.0,1433,25,GER
269,Matthias Bader,SV Darmstadt,0.7,1.0,1807,24,GER
269,Nicolas Höfler,SC Freiburg,0.7,1.0,2332,28,GER
269,Yannik Keitel,SC Freiburg,0.7,1.0,921,15,GER
275,Aissa Laidouni,1. FC Union Berlin,0.7,0.0,1064,23,TUN
275,Eric Dier,Bayern München,0.7,0.0,1166,15,ENG
275,Fraser Hornby,SV Darmstadt,0.7,0.0,214,7,SCO
275,Kevin Vogt,1. FC Union Berlin,0.7,0.0,2643,32,GER
275,Mergim Berisha,TSG Hoffenheim,0.7,0.0,263,8,GER
275,Niklas Dorsch,FC Augsburg,0.7,0.0,1387,21,GER
281,Joseph Scally,Borussia Mönchengladbach,0.6,1.0,2236,31,USA
281,Lukas Kübler,SC Freiburg,0.6,1.0,1848,26,GER
281,Mahmoud Dahoud,VfB Stuttgart,0.6,1.0,217,13,SYR
281,Matej Maglica,SV Darmstadt,0.6,1.0,1701,26,CRO
281,Odilon Kossounou,Bayer 04 Leverkusen,0.6,1.0,1812,22,CIV
286,Amin Sarr,VfL Wolfsburg,0.6,0.0,377,14,SWE
286,Amos Pieper,SV Werder Bremen,0.6,0.0,591,7,GER
286,Christopher Trimmel,1. FC Union Berlin,0.6,0.0,1653,26,AUT
286,Fabian Holland,SV Darmstadt,0.6,0.0,1847,23,GER
286,Gerrit Holtmann,SV Darmstadt,0.6,0.0,388,10,PHI
286,Kilian Sildillia,SC Freiburg,0.6,0.0,1804,27,FRA
