Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
236,Senne Lynen,SV Werder Bremen,0.6,0.0,1791,32,BEL
244,Maxence Lacroix,VfL Wolfsburg,0.5,33.3,2364,28,FRA
245,Hugo Larsson,Eintracht Frankfurt,0.5,20.0,1885,29,SWE
246,David Raum,RB Leipzig,0.5,14.3,2743,31,GER
247,Philipp Max,Eintracht Frankfurt,0.5,12.5,1357,23,GER
248,Matej Maglica,SV Darmstadt,0.5,10.0,1701,26,CRO
248,Min-Jae Kim,Bayern München,0.5,10.0,1970,25,KOR
250,Manuel Gulde,SC Freiburg,0.5,8.3,2048,27,GER
251,Lennard Maloney,1. FC Heidenheim 1846,0.5,7.1,2292,29,USA
252,Christian Gross,SV Werder Bremen,0.5,0.0,792,20,GER
252,Cristian Gamboa,VfL Bochum,0.5,0.0,1187,22,CRC
252,Edmond Tapsoba,Bayer 04 Leverkusen,0.5,0.0,2084,28,BFA
252,Fabian Holland,SV Darmstadt,0.5,0.0,1847,23,GER
252,Norman Theuerkauf,1. FC Heidenheim 1846,0.5,0.0,1257,25,GER
252,Rasmus Carstensen,FC Köln,0.5,0.0,1658,23,DEN
258,Noah Weisshaupt,SC Freiburg,0.4,33.3,744,24,GER
259,Kevin Kampl,RB Leipzig,0.4,16.7,1360,26,SVN
259,Lukas Klostermann,RB Leipzig,0.4,16.7,1433,25,GER
261,Felix Uduokhai,FC Augsburg,0.4,15.4,2922,33,GER
262,Niklas Süle,Borussia Dortmund,0.4,14.3,1509,23,GER
263,Lukas Kübler,SC Freiburg,0.4,12.5,1848,26,GER
263,Robin Knoche,1. FC Union Berlin,0.4,12.5,1916,24,GER
265,Joseph Scally,Borussia Mönchengladbach,0.4,9.1,2236,31,USA
266,Diogo Leite,1. FC Union Berlin,0.4,0.0,2708,32,POR
266,Jonas Föhrenbach,1. FC Heidenheim 1846,0.4,0.0,2790,33,GER
266,Moritz Jenz,VfL Wolfsburg,0.4,0.0,1745,22,GER
266,Omar Traoré,1. FC Heidenheim 1846,0.4,0.0,2474,31,GER
266,Salih Özcan,Borussia Dortmund,0.4,0.0,1179,23,TUR
266,Willi Orban,RB Leipzig,0.4,0.0,1583,19,HUN
272,Niklas Stark,SV Werder Bremen,0.3,50.0,1086,17,GER
273,Milos Veljkovic,SV Werder Bremen,0.3,33.3,1921,23,SRB
274,Christoph Klarer,SV Darmstadt,0.3,22.2,2356,30,AUT
275,Castello Lukeba,RB Leipzig,0.3,14.3,2185,32,FRA
275,Marco Friedl,SV Werder Bremen,0.3,14.3,2198,25,AUT
277,Anthony Rouault,VfB Stuttgart,0.3,0.0,1008,22,FRA
277,Aster Vranckx,VfL Wolfsburg,0.3,0.0,1143,24,BEL
277,Bartol Franjic,SV Darmstadt,0.3,0.0,1232,20,CRO
277,Christoph Zimmermann,SV Darmstadt,0.3,0.0,1216,19,GER
277,Christopher Trimmel,1. FC Union Berlin,0.3,0.0,1653,26,AUT
277,Jordy Makengo,SC Freiburg,0.3,0.0,1022,20,FRA
277,Kilian Sildillia,SC Freiburg,0.3,0.0,1804,27,FRA
277,Matthias Ginter,SC Freiburg,0.3,0.0,1918,23,GER
277,Willian Pacho,Eintracht Frankfurt,0.3,0.0,2970,33,ECU
286,Anthony Jung,SV Werder Bremen,0.2,20.0,2583,31,GER
286,Odilon Kossounou,Bayer 04 Leverkusen,0.2,20.0,1812,22,CIV
288,Kevin Akpoguma,TSG Hoffenheim,0.2,0.0,1095,17,NGA
288,Kevin Mbabu,FC Augsburg,0.2,0.0,2048,25,SUI
288,Rani Khedira,1. FC Union Berlin,0.2,0.0,1350,20,GER
291,Frederik Rønnow,1. FC Union Berlin,0.1,0.0,2970,33,DEN
291,Kevin Vogt,1. FC Union Berlin,0.1,0.0,2643,32,GER
293,Michael Zetterer,SV Werder Bremen,0.0,0.0,2430,27,GER
293,Robin Zentner,1. FSV Mainz 05,0.0,0.0,2700,30,GER
