Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
193,Dayot Upamecano,Bayern München,0.05,1.0,1763,25,FRA
193,Ivan Ordets,VfL Bochum,0.05,1.0,1879,24,UKR
193,Linton Maina,FC Köln,0.05,1.0,1904,31,GER
193,Lukas Kübler,SC Freiburg,0.05,1.0,1848,26,GER
193,Mads Valentin Pedersen,FC Augsburg,0.05,1.0,1783,27,DEN
193,Matej Maglica,SV Darmstadt,0.05,1.0,1701,26,CRO
193,Matthias Bader,SV Darmstadt,0.05,1.0,1807,24,GER
193,Mattias Svanberg,VfL Wolfsburg,0.05,1.0,1725,25,SWE
193,Matus Bero,VfL Bochum,0.05,1.0,1665,24,SVK
193,Max Finkgrafe,FC Köln,0.05,1.0,1756,24,GER
193,Min-Jae Kim,Bayern München,0.05,1.0,1970,25,KOR
193,Odilon Kossounou,Bayer 04 Leverkusen,0.05,1.0,1812,22,CIV
193,Robin Knoche,1. FC Union Berlin,0.05,1.0,1916,24,GER
207,Benedikt Gimber,1. FC Heidenheim 1846,0.04,1.0,2026,24,GER
207,Benjamin Henrichs,RB Leipzig,0.04,1.0,2531,33,GER
207,Castello Lukeba,RB Leipzig,0.04,1.0,2185,32,FRA
207,Dominik Kohr,1. FSV Mainz 05,0.04,1.0,2190,31,GER
207,Eric Martel,FC Köln,0.04,1.0,2464,30,GER
207,Florian Grillitsch,TSG Hoffenheim,0.04,1.0,2297,30,AUT
207,Joseph Scally,Borussia Mönchengladbach,0.04,1.0,2236,31,USA
207,Joshua Kimmich,Bayern München,0.04,1.0,2185,28,GER
207,Lennard Maloney,1. FC Heidenheim 1846,0.04,1.0,2292,29,USA
207,Manuel Gulde,SC Freiburg,0.04,1.0,2048,27,GER
207,Marco Friedl,SV Werder Bremen,0.04,1.0,2198,25,AUT
207,Nicolas Höfler,SC Freiburg,0.04,1.0,2332,28,GER
207,Philipp Mwene,1. FSV Mainz 05,0.04,1.0,2003,23,AUT
207,Ridle Baku,VfL Wolfsburg,0.04,1.0,2011,33,GER
221,Angelo Stiller,VfB Stuttgart,0.03,1.0,2780,32,GER
221,Anthony Jung,SV Werder Bremen,0.03,1.0,2583,31,GER
221,Anthony Losilla,VfL Bochum,0.03,1.0,2586,31,FRA
221,Bernardo,VfL Bochum,0.03,1.0,2924,33,BRA
221,Jeffrey Gouweleeuw,FC Augsburg,0.03,1.0,2594,30,NED
221,Maximilian Eggestein,SC Freiburg,0.03,1.0,2918,33,GER
221,Tuta,Eintracht Frankfurt,0.03,1.0,2605,30,BRA
