Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
223,Jessic Ngankam,1. FSV Mainz 05,0.6,75.0,450,22,GER
223,Michael Gregoritsch,SC Freiburg,0.6,75.0,1684,32,AUT
225,Jonas Hofmann,Bayer 04 Leverkusen,0.6,70.0,2214,32,GER
225,Rafael Santos Borre,SV Werder Bremen,0.6,70.0,989,19,COL
227,Lukas Klostermann,RB Leipzig,0.6,66.7,1433,25,GER
228,Tim Skarke,SV Darmstadt,0.6,61.5,2418,30,GER
228,Yussuf Poulsen,RB Leipzig,0.6,61.5,1209,28,DEN
230,Kingsley Coman,Bayern München,0.6,58.3,1123,17,FRA
231,Felix Uduokhai,FC Augsburg,0.6,56.8,2922,33,GER
232,Xavi Simons,RB Leipzig,0.6,56.7,2673,32,NED
233,Eren Dinkci,1. FC Heidenheim 1846,0.6,56.3,2672,33,TUR
234,Jamie Leweling,VfB Stuttgart,0.6,55.6,1519,34,GER
234,Niklas Süle,Borussia Dortmund,0.6,55.6,1509,23,GER
236,Goncalo Paciencia,VfL Bochum,0.6,50.0,645,19,POR
236,Jamie Bynoe-Gittens,Borussia Dortmund,0.6,50.0,1059,25,ENG
236,Mathias Honsak,SV Darmstadt,0.6,50.0,1013,23,AUT
236,Mikkel Kaufmann,1. FC Union Berlin,0.6,50.0,479,18,DEN
240,Deniz Undav,VfB Stuttgart,0.6,46.4,2096,30,GER
241,Kevin Volland,1. FC Union Berlin,0.6,40.9,1346,26,GER
242,Kevin Behrens,VfL Wolfsburg,0.5,73.3,1880,31,GER
243,Jonathan Burkardt,1. FSV Mainz 05,0.5,66.7,1541,21,GER
244,Moritz Broschinski,VfL Bochum,0.5,63.6,1242,26,GER
245,Castello Lukeba,RB Leipzig,0.5,63.2,2185,32,FRA
246,Phillip Tietz,FC Augsburg,0.5,60.9,2405,34,GER
247,Roland Sallai,SC Freiburg,0.5,58.8,1850,27,HUN
248,Robin Hack,Borussia Mönchengladbach,0.5,53.3,1345,29,GER
249,Franck Honorat,Borussia Mönchengladbach,0.5,52.0,2358,32,FRA
250,Cedric Zesiger,VfL Wolfsburg,0.5,47.4,1634,23,SUI
251,Karim Onisiwo,1. FSV Mainz 05,0.5,47.1,1496,24,AUT
252,Noah Weisshaupt,SC Freiburg,0.5,44.4,744,24,GER
253,Ruben Vargas,FC Augsburg,0.5,43.5,1978,31,SUI
254,Kevin Kampl,RB Leipzig,0.5,42.1,1360,26,SVN
255,Marco Richter,1. FSV Mainz 05,0.5,40.0,713,20,GER
256,Donyell Malen,Borussia Dortmund,0.4,63.6,1783,27,NED
257,Maximilian Beier,TSG Hoffenheim,0.4,60.0,2431,33,GER
258,Ermedin Demirovic,FC Augsburg,0.4,58.3,2879,33,BIH
259,Tim Kleindienst,1. FC Heidenheim 1846,0.4,57.1,2874,33,GER
260,Omar Marmoush,Eintracht Frankfurt,0.4,52.4,2310,29,EGY
261,Oscar Vilhelmsson,SV Darmstadt,0.4,46.2,1375,26,SWE
262,Jonas Wind,VfL Wolfsburg,0.3,76.9,2660,34,DEN
263,Tomas Cvancara,Borussia Mönchengladbach,0.3,75.0,892,21,CZE
264,Harry Kane,Bayern München,0.3,69.2,2843,32,ENG
265,Patrik Schick,Bayer 04 Leverkusen,0.3,66.7,1064,20,CZE
266,Silas Katompa Mvumpa,VfB Stuttgart,0.3,60.0,890,27,COD
267,Luca Pfeiffer,SV Darmstadt,0.3,54.5,1625,24,GER
268,Leroy Sané,Bayern München,0.3,53.3,2142,27,GER
269,Philipp Hofmann,VfL Bochum,0.3,50.0,1576,29,GER
270,Jonathan Tah,Bayer 04 Leverkusen,0.3,47.4,2632,31,GER
271,Wout Weghorst,TSG Hoffenheim,0.3,46.2,1987,28,NED
272,Alassane Plea,Borussia Mönchengladbach,0.3,41.2,1925,27,FRA
273,Faride Alidou,FC Köln,0.3,40.0,1284,26,GER
274,Benjamin Sesko,RB Leipzig,0.3,38.5,1528,31,SVN
275,Václav Cerny,VfL Wolfsburg,0.3,37.5,923,22,CZE
276,Julian Justvan,SV Darmstadt,0.3,36.4,1069,18,GER
277,Takuma Asano,VfL Bochum,0.3,35.3,2003,29,JPN
278,Dawid Kownacki,SV Werder Bremen,0.2,100.0,366,22,POL
279,Victor Okoh Boniface,Bayer 04 Leverkusen,0.2,66.7,1553,23,NGA
280,Jordan Pefok,Borussia Mönchengladbach,0.2,40.0,1450,26,USA
280,Tiago Tomás,VfL Wolfsburg,0.2,40.0,1029,26,POR
282,Mathys Tel,Bayern München,0.2,16.7,1031,30,FRA
283,Alexander Nübel,VfB Stuttgart,0.1,100.0,2700,30,GER
283,Ikoma Lois Openda,RB Leipzig,0.1,100.0,2716,34,BEL
283,Robin Zentner,1. FSV Mainz 05,0.1,100.0,2700,30,GER
286,Ludovic Ajorque,1. FSV Mainz 05,0.1,66.7,1355,26,FRA
287,Davie Selke,FC Köln,0.1,50.0,1271,19,GER
287,Serhou Guirassy,VfB Stuttgart,0.1,50.0,2212,28,GUI
289,Marvin Ducksch,SV Werder Bremen,0.1,37.5,2710,33,GER
289,Niclas Füllkrug,Borussia Dortmund,0.1,37.5,2405,31,GER
291,Youssoufa Moukoko,Borussia Dortmund,0.1,25.0,614,20,GER
292,Justin Njinmah,SV Werder Bremen,0.1,20.0,1012,24,GER
293,Andrej Kramaric,TSG Hoffenheim,0.1,18.2,2206,30,CRO
294,Frederik Rønnow,1. FC Union Berlin,0.0,100.0,2970,33,DEN
294,Janis Blaswich,RB Leipzig,0.0,100.0,1890,21,GER
294,Manuel Neuer,Bayern München,0.0,100.0,2054,23,GER
294,Oliver Baumann,TSG Hoffenheim,0.0,100.0,3060,34,GER
298,Koen Casteels,VfL Wolfsburg,0.0,50.0,2250,25,BEL
298,Manuel Riemann,VfL Bochum,0.0,50.0,2970,33,GER
300,Michael Zetterer,SV Werder Bremen,0.0,33.3,2430,27,GER
