Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
173,Niklas Süle,Borussia Dortmund,1.0,0.0,1509,23,GER
173,Noah Weisshaupt,SC Freiburg,1.0,0.0,744,24,GER
173,Odilon Kossounou,Bayer 04 Leverkusen,1.0,0.0,1812,22,CIV
173,Philipp Lienhart,SC Freiburg,1.0,0.0,1265,15,AUT
173,Philipp Max,Eintracht Frankfurt,1.0,0.0,1357,23,GER
173,Philipp Mwene,1. FSV Mainz 05,1.0,0.0,2003,23,AUT
173,Piero Hincapié,Bayer 04 Leverkusen,1.0,0.0,1484,26,ECU
173,Randal Kolo Muani,Eintracht Frankfurt,1.0,0.0,155,2,FRA
173,Ridle Baku,VfL Wolfsburg,1.0,0.0,2011,33,GER
173,Robin Knoche,1. FC Union Berlin,1.0,0.0,1916,24,GER
173,Rogério,VfL Wolfsburg,1.0,0.0,906,13,BRA
173,Sargis Adamyan,FC Köln,1.0,0.0,797,20,ARM
173,Silvan Widmer,1. FSV Mainz 05,1.0,0.0,1243,20,SUI
173,Skelly Alvero,SV Werder Bremen,1.0,0.0,121,6,FRA
173,Tiago Tomás,VfL Wolfsburg,1.0,0.0,1029,26,POR
173,Tom Krauss,1. FSV Mainz 05,1.0,0.0,1339,29,GER
173,Tuta,Eintracht Frankfurt,1.0,0.0,2605,30,BRA
173,Yannik Keitel,SC Freiburg,1.0,0.0,921,15,GER
259,Leonardo Bonucci,1. FC Union Berlin,1.0,1.0,463,7,ITA
